,AAPL,IBM,GOOG,XOM,Cash,Value
2011-05-02,0.0,1800.0,0.0,0.0,769519.0,1071685.0
2011-05-03,0.0,3300.0,0.0,0.0,516649.0,1072963.0
2011-05-04,0.0,3300.0,0.0,0.0,516649.0,1065703.0
2011-05-05,0.0,3300.0,0.0,0.0,516649.0,1058773.0
2011-05-06,0.0,3300.0,0.0,0.0,516649.0,1062568.0
2011-05-09,0.0,3300.0,0.0,0.0,516649.0,1063261.0
2011-05-10,0.0,3300.0,0.0,0.0,516649.0,1067386.0
2011-05-11,0.0,3300.0,0.0,0.0,516649.0,1064548.0
2011-05-12,0.0,3300.0,0.0,0.0,516649.0,1073392.0
2011-05-13,0.0,3300.0,0.0,0.0,516649.0,1065901.0
2011-05-16,0.0,3300.0,0.0,0.0,516649.0,1062469.0
2011-05-17,0.0,3300.0,0.0,0.0,516649.0,1067782.0
2011-05-18,0.0,3300.0,0.0,0.0,516649.0,1067584.0
2011-05-19,0.0,3300.0,0.0,0.0,516649.0,1068079.0
2011-05-20,0.0,3300.0,0.0,0.0,516649.0,1066693.0
2011-05-23,0.0,3300.0,0.0,0.0,516649.0,1060555.0
2011-05-24,0.0,3300.0,0.0,0.0,516649.0,1059664.0
2011-05-25,0.0,3300.0,0.0,0.0,516649.0,1058905.0
2011-05-26,0.0,3300.0,0.0,0.0,516649.0,1057057.0
2011-05-27,0.0,3300.0,0.0,0.0,516649.0,1058080.0
2011-05-31,0.0,3300.0,0.0,0.0,516649.0,1062700.0
2011-06-01,0.0,3300.0,0.0,0.0,516649.0,1055044.0
2011-06-02,0.0,3300.0,0.0,0.0,516649.0,1053526.0
2011-06-03,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-06,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-07,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-08,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-09,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-10,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-13,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-14,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-15,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-16,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-17,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-20,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-21,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-22,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-23,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-24,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-27,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-28,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-29,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-06-30,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-01,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-05,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-06,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-07,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-08,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-11,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-12,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-13,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-14,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-15,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-18,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-19,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-20,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-21,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-22,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-25,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-26,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-27,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-28,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-07-29,0.0,0.0,0.0,0.0,1050160.0,1050160.0
2011-08-01,0.0,0.0,0.0,0.0,1050160.0,1050160.0
